control_id,family,title,control_text,discussion,enhancements
AC-01,Access Control,Policy and Procedures,"Develop document and disseminate access control policy and procedures that address purpose scope roles responsibilities management commitment coordination and compliance.",Access control policy and procedures address the controls in the AC family.,AC-01(01): Policy reviewed and updated periodically.
AC-02,Access Control,Account Management,"Define and document account types; assign account managers; require prerequisites for group membership; specify authorized users and access authorizations; require approvals for account creation; monitor account use.",Account management includes identification of account types and establishment of conditions for group and role membership.,AC-02(01)-AC-02(13): Various enhancements for automated management and monitoring.
AC-03,Access Control,Access Enforcement,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,Access control policies control access between active entities or subjects and passive entities or objects.,AC-03(02)-AC-03(15): Dual authorization; mandatory and discretionary access control; RBAC.
AC-04,Access Control,Information Flow Enforcement,Enforce approved authorizations for controlling the flow of information within the system and between connected systems.,Information flow control regulates where information can travel within and between systems.,AC-04(01)-AC-04(08): Object security attributes; processing domains; dynamic flow control.
AC-05,Access Control,Separation of Duties,"Identify and document duties requiring separation; define system access authorizations to support separation of duties.",Separation of duties addresses potential for abuse of authorized privileges and helps reduce risk of malevolent activity.,AC-05(01): Automated mechanisms for separation of duties.
AC-06,Access Control,Least Privilege,"Employ the principle of least privilege allowing only authorized accesses necessary to accomplish assigned organizational tasks.",Organizations employ least privilege for specific duties and systems.,AC-06(01)-AC-06(10): Authorize access to security functions; non-privileged access; review of privileges.
AC-07,Access Control,Unsuccessful Logon Attempts,"Enforce a limit of consecutive invalid logon attempts by a user during a defined time period; automatically lock account or delay next logon when maximum attempts exceeded.",The need to limit unsuccessful logon attempts applies regardless of whether logon occurs via local or network connection.,AC-07(01)-AC-07(04): Automatic account lock; purge mobile device.
AC-08,Access Control,System Use Notification,"Display system use notification message before granting access; retain notification until users acknowledge conditions.",System use notifications can be implemented using messages or warning banners displayed before login.,None
AC-11,Access Control,Device Lock,"Prevent further access by initiating device lock after defined inactivity period; retain lock until user reestablishes access.",Device locks are temporary actions taken to prevent logical access when users move away from systems.,AC-11(01): Pattern-hiding displays.
AC-12,Access Control,Session Termination,Automatically terminate a user session after defined conditions or trigger events.,Session termination addresses termination of user-initiated logical sessions for local network and remote access.,AC-12(01): User-initiated logouts.
AC-14,Access Control,Permitted Actions Without Identification or Authentication,"Identify user actions that can be performed without identification or authentication; document and provide supporting rationale.",Specific user actions may be permitted without identification or authentication if organizations determine it is not required.,None
AC-17,Access Control,Remote Access,"Establish and document usage restrictions configuration requirements and implementation guidance for remote access; authorize each type prior to allowing connections.",Remote access is access to organizational systems through external networks such as the Internet.,AC-17(01)-AC-17(04): Monitoring; encryption; managed access control points; privileged commands.
AC-18,Access Control,Wireless Access,"Establish configuration requirements connection requirements and implementation guidance for wireless access; authorize each type prior to allowing connections.",Wireless technologies include microwave packet radio 802.11x and Bluetooth.,AC-18(01)-AC-18(05): Authentication and encryption; disable wireless; restrict configurations.
AC-19,Access Control,Access Control for Mobile Devices,"Establish configuration requirements connection requirements and implementation guidance for mobile devices; authorize connection to organizational systems.",A mobile device is a computing device with small form factor designed to operate without physical connection.,AC-19(05): Full device or container-based encryption.
AC-20,Access Control,Use of External Systems,"Establish terms and conditions or identify controls for external systems; allow authorized individuals to access system from external systems or restrict/prohibit use.",External systems are used by but not part of organizational systems.,AC-20(01)-AC-20(02): Limits on authorized use; portable storage devices.
AC-21,Access Control,Information Sharing,"Enable authorized users to determine whether access authorizations match information access restrictions; employ mechanisms to assist in sharing decisions.",Information sharing applies to information that may be restricted based on formal or administrative determination.,None
AC-22,Access Control,Publicly Accessible Content,"Designate individuals authorized to make information publicly accessible; train authorized individuals; review proposed content before posting; review content periodically.",Organizations ensure publicly accessible information does not contain nonpublic information.,None
AT-01,Awareness and Training,Policy and Procedures,"Develop document and disseminate awareness and training policy and procedures.",Awareness and training policy and procedures address the controls in the AT family.,None
AT-02,Awareness and Training,Literacy Training and Awareness,"Provide security and privacy literacy training to system users as part of initial training and periodically thereafter; employ techniques to increase awareness.",Organizations provide basic and advanced levels of literacy training to system users.,AT-02(02)-AT-02(06): Insider threat; social engineering; suspicious communications; APT.
AT-03,Awareness and Training,Role-Based Training,"Provide role-based security and privacy training before authorizing access and periodically thereafter; update training content periodically.",Organizations determine training content based on assigned roles and responsibilities.,AT-03(05): Processing personally identifiable information.
AT-04,Awareness and Training,Training Records,"Document and monitor training activities including awareness and role-based training; retain individual training records.",Documentation for specialized training may be maintained by individual supervisors.,None
AU-01,Audit and Accountability,Policy and Procedures,"Develop document and disseminate audit and accountability policy and procedures.",Audit and accountability policy and procedures address the controls in the AU family.,None
AU-02,Audit and Accountability,Event Logging,"Identify event types for logging; coordinate logging function; specify event types for logging; provide rationale; review and update event types.",An event is an observable occurrence in a system relevant to security and privacy.,AU-02(01): Compilation of audit records from multiple sources.
AU-03,Audit and Accountability,Content of Audit Records,"Ensure audit records contain: what type of event; when it occurred; where it occurred; source; outcome; identity of associated individuals or entities.",Audit record content includes event descriptions timestamps source and destination addresses user identifiers and success/fail indications.,AU-03(01): Additional audit information; AU-03(03): Limit PII elements.
AU-04,Audit and Accountability,Audit Log Storage Capacity,Allocate audit log storage capacity to accommodate retention requirements.,Organizations consider types of audit logging and processing requirements when allocating storage capacity.,AU-04(01): Transfer to alternate storage.
AU-05,Audit and Accountability,Response to Audit Logging Process Failures,"Alert personnel in event of audit logging process failure; take additional actions as defined.",Audit logging process failures include software and hardware errors and reaching storage capacity.,AU-05(01)-AU-05(02): Storage capacity warning; real-time alerts.
AU-06,Audit and Accountability,Audit Record Review Analysis and Reporting,"Review and analyze audit records for indications of inappropriate or unusual activity; report findings; adjust review level based on risk changes.",Audit record review analysis and reporting covers information security and privacy related logging.,AU-06(01)-AU-06(06): Automated process integration; correlate repositories; integrated analysis.
AU-07,Audit and Accountability,Audit Record Reduction and Report Generation,"Provide audit record reduction and report generation capability supporting on-demand review and after-the-fact investigations.",Audit record reduction organizes collected audit log information into a summary format.,AU-07(01): Automatic processing.
AU-08,Audit and Accountability,Time Stamps,"Use internal system clocks to generate time stamps; record time stamps meeting defined granularity using UTC or local time with offset.",Time stamps generated by the system include date and time commonly expressed in UTC.,AU-08(01): Synchronization with authoritative time source.
AU-09,Audit and Accountability,Protection of Audit Information,"Protect audit information and tools from unauthorized access modification and deletion; alert upon detection of unauthorized access.",Audit information includes all information needed to successfully audit system activity.,AU-09(02)-AU-09(04): Separate physical systems; access by subset of privileged users.
AU-11,Audit and Accountability,Audit Record Retention,"Retain audit records for defined time period to support investigations and meet retention requirements.",Organizations retain audit records until determined no longer needed for operational purposes.,AU-11(01): Long-term retrieval capability.
AU-12,Audit and Accountability,Audit Record Generation,"Provide audit record generation capability for defined event types; allow personnel to select event types; generate records including defined content.",Audit records can be generated from many different system components.,AU-12(01)-AU-12(03): System-wide audit trail; changes by authorized individuals.
CA-01,Assessment Authorization and Monitoring,Policy and Procedures,"Develop document and disseminate assessment authorization and monitoring policy and procedures.",Assessment authorization and monitoring policy and procedures address the controls in the CA family.,None
CA-02,Assessment Authorization and Monitoring,Control Assessments,"Select appropriate assessor; develop control assessment plan; ensure plan is approved; assess controls to determine effectiveness; produce assessment report.",Organizations assess controls in systems and environments as part of the system development life cycle.,CA-02(01)-CA-02(03): Independent assessors; specialized assessments; leveraging external results.
CA-03,Assessment Authorization and Monitoring,Information Exchange,"Approve and manage information exchange between systems using appropriate agreements; document interface characteristics and requirements; review and update.",System connections are authorized by senior agency officials or designees.,CA-03(06)-CA-03(07): Transfer authorizations; transitive information exchanges.
CA-05,Assessment Authorization and Monitoring,Plan of Action and Milestones,"Develop plan of action and milestones to document planned remediation actions; update based on assessment findings and monitoring activities.",Plans of action and milestones are useful for planning implementing and documenting remediation actions.,None
CA-06,Assessment Authorization and Monitoring,Authorization,"Assign authorizing official for system and common controls; ensure authorization before commencing operations; update authorizations periodically.",Authorizations are official management decisions to authorize operation of systems.,None
CA-07,Assessment Authorization and Monitoring,Continuous Monitoring,"Develop and implement continuous monitoring strategy including metrics frequencies ongoing assessments correlation analysis response actions and reporting.",Continuous monitoring at system level facilitates ongoing awareness of security and privacy posture.,CA-07(01)-CA-07(04): Independent assessment; risk monitoring.
CA-09,Assessment Authorization and Monitoring,Internal System Connections,"Authorize internal connections; document interface characteristics and requirements; terminate connections after defined conditions; review continued need.",Organizations allow internal connections only after verifying security and privacy requirements can be satisfied.,None
CM-01,Configuration Management,Policy and Procedures,"Develop document and disseminate configuration management policy and procedures.",Configuration management policy and procedures address the controls in the CM family.,None
CM-02,Configuration Management,Baseline Configuration,"Develop document and maintain current baseline configuration under configuration control; review and update periodically and when components are installed.",Baseline configurations include connectivity operational and communications aspects of systems.,CM-02(02)-CM-02(07): Automation support; retention of previous configurations; high-risk areas.
CM-03,Configuration Management,Configuration Change Control,"Determine and document configuration-controlled changes; review and approve changes; document decisions; implement approved changes; retain records; monitor activities.",Configuration change control involves systematic proposal justification implementation testing review and disposition.,CM-03(01)-CM-03(06): Automated documentation; testing and validation; security representatives; cryptography.
CM-04,Configuration Management,Impact Analyses,Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.,Organizational personnel with security or privacy responsibilities conduct impact analyses.,CM-04(01)-CM-04(02): Separate test environments; verification of controls.
CM-05,Configuration Management,Access Restrictions for Change,"Define document approve and enforce physical and logical access restrictions associated with changes to the system.",Changes to hardware software or firmware can potentially have significant effects on security.,CM-05(01): Automated access enforcement and audit records.
CM-06,Configuration Management,Configuration Settings,"Establish and document configuration settings reflecting most restrictive mode; implement settings; identify and approve deviations; monitor and control changes.",Configuration settings are parameters that can be changed in hardware software or firmware components.,CM-06(01)-CM-06(02): Automated management; respond to unauthorized changes.
CM-07,Configuration Management,Least Functionality,"Configure system to provide only mission essential capabilities; prohibit or restrict use of specified functions ports protocols and services.",Systems provide a wide variety of functions and services some of which may not be necessary.,CM-07(01)-CM-07(05): Periodic review; prevent program execution; authorized software.
CM-08,Configuration Management,System Component Inventory,"Develop and document inventory of system components that accurately reflects the system; review and update periodically.",System components are discrete identifiable information technology assets.,CM-08(01)-CM-08(04): Updates during installation; automated maintenance; unauthorized component detection.
CM-09,Configuration Management,Configuration Management Plan,"Develop document and implement configuration management plan addressing roles responsibilities processes and procedures.",Configuration management activities occur throughout the system development life cycle.,None
CM-10,Configuration Management,Software Usage Restrictions,"Use software in accordance with contract agreements and copyright laws; track software protected by quantity licenses; control peer-to-peer file sharing.",Software license tracking can be accomplished by manual or automated methods.,CM-10(01): Open-source software.
CM-11,Configuration Management,User-Installed Software,"Establish policies governing user software installation; enforce policies through defined methods; monitor compliance.",If provided necessary privileges users can install software in organizational systems.,CM-11(02): Software installation with privileged status.
CP-01,Contingency Planning,Policy and Procedures,"Develop document and disseminate contingency planning policy and procedures.",Contingency planning policy and procedures address the controls in the CP family.,None
CP-02,Contingency Planning,Contingency Plan,"Develop contingency plan identifying essential functions recovery objectives roles and responsibilities; distribute review update and communicate plan changes.",Contingency planning for systems is part of an overall program for achieving continuity of operations.,CP-02(01)-CP-02(08): Coordinate with related plans; capacity planning; resume and continue functions.
CP-03,Contingency Planning,Contingency Training,"Provide contingency training consistent with assigned roles; review and update training content periodically.",Contingency training is linked to assigned roles and responsibilities of organizational personnel.,CP-03(01): Simulated events.
CP-04,Contingency Planning,Contingency Plan Testing,"Test contingency plan periodically using defined tests; review test results; initiate corrective actions.",Methods for testing include checklists walk-through and tabletop exercises and simulations.,CP-04(01)-CP-04(02): Coordinate with related plans; alternate processing site.
CP-06,Contingency Planning,Alternate Storage Site,"Establish alternate storage site with necessary agreements; ensure equivalent controls.",Alternate storage sites are geographically distinct from primary storage sites.,CP-06(01)-CP-06(03): Separation from primary site; accessibility.
CP-07,Contingency Planning,Alternate Processing Site,"Establish alternate processing site for transfer and resumption of operations; make equipment available; provide equivalent controls.",Alternate processing sites are geographically distinct from primary processing sites.,CP-07(01)-CP-07(04): Separation; accessibility; priority of service; preparation for use.
CP-08,Contingency Planning,Telecommunications Services,"Establish alternate telecommunications services for resumption of operations when primary capabilities unavailable.",Telecommunications services are needed to transmit information between systems.,CP-08(01)-CP-08(02): Priority of service; single points of failure.
CP-09,Contingency Planning,System Backup,"Conduct backups of user-level system-level and documentation information at defined frequencies; protect backup confidentiality integrity and availability.",System-level information includes system state operating system software middleware and application software.,CP-09(01)-CP-09(08): Testing for reliability; test restoration; transfer to alternate site; cryptographic protection.
CP-10,Contingency Planning,System Recovery and Reconstitution,Provide for recovery and reconstitution of system to known state within defined time period after disruption compromise or failure.,Recovery is executing contingency plan activities to restore organizational mission and business functions.,CP-10(02)-CP-10(04): Transaction recovery; restore within time period.
IA-01,Identification and Authentication,Policy and Procedures,"Develop document and disseminate identification and authentication policy and procedures.",Identification and authentication policy and procedures address the controls in the IA family.,None
IA-02,Identification and Authentication,Identification and Authentication (Organizational Users),Uniquely identify and authenticate organizational users and associate unique identification with processes acting on behalf of those users.,Organizations can satisfy requirements by complying with HSPD 12.,IA-02(01)-IA-02(12): Multi-factor authentication to privileged and non-privileged accounts; separate device; replay resistant.
IA-03,Identification and Authentication,Device Identification and Authentication,Uniquely identify and authenticate defined devices before establishing local remote or network connection.,Devices requiring unique identification and authentication are defined by type device or combination.,IA-03(01): Cryptographic bidirectional authentication.
IA-04,Identification and Authentication,Identifier Management,"Manage system identifiers: receive authorization; select identifier; assign to intended entity; prevent reuse; manage by disabling after inactivity.",Common device identifiers include MAC addresses IP addresses or device-unique token identifiers.,IA-04(04): Identify user status.
IA-05,Identification and Authentication,Authenticator Management,"Manage authenticators: verify identity for initial distribution; establish initial content; ensure sufficient strength; establish administrative procedures; change defaults; refresh periodically; protect from unauthorized disclosure; require specific controls.",Authenticators include passwords cryptographic devices biometrics certificates one-time password devices and ID badges.,IA-05(01)-IA-05(13): Password-based; public key-based; protection; no embedded static authenticators; federated credential management.
IA-06,Identification and Authentication,Authentication Feedback,Obscure feedback of authentication information during the authentication process to protect from exploitation.,Authentication feedback from systems does not provide information that would allow unauthorized compromise.,None
IA-07,Identification and Authentication,Cryptographic Module Authentication,Implement mechanisms for authentication to a cryptographic module that meet applicable requirements.,Authentication mechanisms may be required within a cryptographic module to authenticate an operator.,None
IA-08,Identification and Authentication,Identification and Authentication (Non-Organizational Users),Uniquely identify and authenticate non-organizational users or processes acting on their behalf.,Non-organizational users include system users other than organizational users explicitly covered by IA-02.,IA-08(01)-IA-08(04): Acceptance of PIV credentials; external authenticators; defined profiles.
IA-11,Identification and Authentication,Re-authentication,Require users to re-authenticate when defined circumstances or situations require it.,Organizations may require re-authentication in certain situations beyond device locks.,None
IA-12,Identification and Authentication,Identity Proofing,"Identity proof users requiring accounts based on appropriate identity assurance level; resolve to unique individual; collect validate and verify evidence.",Identity proofing is the process of collecting validating and verifying a claimed identity.,IA-12(02)-IA-12(06): Identity evidence; validation and verification; in-person; address confirmation.
IR-01,Incident Response,Policy and Procedures,"Develop document and disseminate incident response policy and procedures.",Incident response policy and procedures address the controls in the IR family.,None
IR-02,Incident Response,Incident Response Training,"Provide incident response training consistent with assigned roles; review and update training content periodically.",Incident response training is associated with assigned roles and responsibilities.,IR-02(01)-IR-02(02): Simulated events; automated training environments.
IR-04,Incident Response,Incident Handling,"Implement incident handling capability including preparation detection analysis containment eradication and recovery; coordinate with contingency planning; incorporate lessons learned.",Organizations recognize that incident response capabilities depend on system capabilities.,IR-04(01)-IR-04(11): Automated processes; information correlation; automatic disabling; external coordination.
IR-05,Incident Response,Incident Monitoring,Track and document incidents on an ongoing basis.,Documenting incidents includes maintaining records about each incident and status.,IR-05(01): Automated tracking data collection and analysis.
IR-06,Incident Response,Incident Reporting,"Require personnel to report suspected incidents within defined time period; report incident information to defined authorities.",Types of incidents reported reflect applicable laws and regulations.,IR-06(01)-IR-06(03): Automated reporting; supply chain coordination.
IR-07,Incident Response,Incident Response Assistance,"Provide incident response support resource offering advice and assistance for handling and reporting incidents.",Incident response support resources include help desks assistance groups and automated ticketing systems.,IR-07(01): Automation support for availability of information.
IR-08,Incident Response,Incident Response Plan,"Develop incident response plan providing roadmap for implementation; describe structure and organization; define reportable incidents and metrics; distribute and update plan.",It is important that organizations develop and implement a coordinated approach to incident response.,None
MA-01,Maintenance,Policy and Procedures,"Develop document and disseminate maintenance policy and procedures.",Maintenance policy and procedures address the controls in the MA family.,None
MA-02,Maintenance,Controlled Maintenance,"Schedule document and review maintenance records; approve and monitor all maintenance activities; require approval for off-site removal; sanitize equipment; verify controls after maintenance.",Controlling system maintenance addresses information security aspects of the maintenance program.,MA-02(02): Automated maintenance activities.
MA-04,Maintenance,Nonlocal Maintenance,"Approve and monitor nonlocal maintenance; allow use of nonlocal tools consistent with policy; employ strong authentication; maintain records; terminate sessions when completed.",Nonlocal maintenance is conducted by individuals communicating through external or internal networks.,MA-04(01)-MA-04(03): Logging and review; comparable security and sanitization.
MA-05,Maintenance,Maintenance Personnel,"Establish process for maintenance personnel authorization; verify non-escorted personnel possess required authorizations; designate personnel to supervise.",Maintenance personnel refers to individuals who perform hardware or software maintenance.,MA-05(01): Individuals with appropriate access.
